cod_com,comuna,agno,grado,prom_nat2m_com,dif_nat2m_com,sigdif_nat2m_com
2103,Sierra Gorda,2018,2m,197,0,0
2104,Taltal,2018,2m,210,-7,0
2301,Tocopilla,2018,2m,220,-1,0
2302,María Elena,2018,2m,229,2,0
2201,Calama,2018,2m,243,1,0
2202,Ollagüe,2018,2m,NA,NA,NA
2203,San Pedro de Atacama,2018,2m,239,8,0
3101,Copiapó,2018,2m,236,1,0
3102,Caldera,2018,2m,223,3,0
3103,Tierra Amarilla,2018,2m,194,-8,0
3201,Chañaral,2018,2m,219,8,0
3202,Diego de Almagro,2018,2m,228,-4,0
3301,Vallenar,2018,2m,236,2,0
3302,Alto del Carmen,2018,2m,216,3,0
3303,Freirina,2018,2m,206,5,0
3304,Huasco,2018,2m,233,24,1
4101,La Serena,2018,2m,250,0,0
4102,Coquimbo,2018,2m,245,4,0
4103,Andacollo,2018,2m,239,23,1
4104,La Higuera,2018,2m,196,0,0
4105,Paihuano,2018,2m,236,11,0
4106,Vicuña,2018,2m,234,5,0
4202,Canela,2018,2m,222,-13,-1
4203,Los Vilos,2018,2m,240,16,1
4204,Salamanca,2018,2m,242,4,0
4301,Ovalle,2018,2m,247,7,1
4302,Combarbalá,2018,2m,227,-4,0
4303,Monte Patria,2018,2m,232,2,0
4304,Punitaqui,2018,2m,242,6,0
4305,Río Hurtado,2018,2m,236,20,1
4201,Illapel,2018,2m,230,-2,0
5401,La Ligua,2018,2m,234,1,0
5402,Cabildo,2018,2m,234,1,0
5403,Papudo,2018,2m,216,-9,0
5404,Petorca,2018,2m,238,21,1
5405,Zapallar,2018,2m,247,4,0
5501,Quillota,2018,2m,245,-4,0
5605,El Tabo,2018,2m,218,-22,-1
5606,Santo Domingo,2018,2m,234,0,0
5801,Quilpué,2018,2m,244,3,0
5804,Villa Alemana,2018,2m,255,4,0
5601,San Antonio,2018,2m,238,4,0
5602,Algarrobo,2018,2m,223,-2,0
5603,Cartagena,2018,2m,231,5,0
5604,El Quisco,2018,2m,249,24,1
5103,Concón,2018,2m,266,3,0
5104,Juan Fernández,2018,2m,249,0,0
5105,Puchuncaví,2018,2m,223,10,0
5107,Quintero,2018,2m,237,7,0
